Complexity,Loss,Equation
1,63.122295,"rolling_pts_avg_5G"
3,60.150978,"rolling_fga_5G + 4.2738757"
4,59.51903,"rolling_fga_5G + sqrt(adjusted_pts_proj_def)"
5,59.307518,"(rolling_fga_5G + rolling_pts_avg_5G) ^ 0.83685076"
6,59.28847,"sqrt(rolling_fga_5G * (adjusted_pts_proj_def - -5.8745503))"
7,59.108322,"log(pts_to_3pm_ratio) + sqrt(rolling_pts_avg_5G * rolling_fga_5G)"
8,58.963196,"log(pts_to_3pm_ratio) + ((rolling_fga_5G + rolling_pts_avg_5G) ^ 0.80480766)"
9,58.95669,"sqrt((rolling_fga_5G * adjusted_pts_proj_usg) + 11.214482) + log(pts_to_3pm_ratio)"
10,58.569195,"sqrt(adjusted_pts_proj_usg * (rolling_fga_5G - (adjusted_pts_proj_def / pts_to_3pm_ratio))) + 3.7930174"
12,58.35924,"sqrt((rolling_fga_5G - (1.5318556 ^ (adjusted_pts_proj_usg / pts_to_3pm_ratio))) * adjusted_pts_proj_def) + 4.221164"
14,58.20554,"sqrt((adjusted_pts_proj_usg * rolling_fga_5G) - ((pts_per_min + 2.2355466) ^ (adjusted_pts_proj_usg / pts_to_3pm_ratio))) + 3.063602"
15,58.06707,"sqrt((adjusted_pts_proj_def * rolling_fga_5G) - ((log(pts_per_min) + 3.3897765) ^ (adjusted_pts_proj_usg / pts_to_3pm_ratio))) + 3.157671"
16,57.812344,"sqrt((adjusted_pts_proj_def - -6.484257) * (rolling_fga_5G - (0.9436068 / (pts_to_3pm_ratio - ((adjusted_pts_proj_def ^ 0.47437653) - shots_per_min)))))"
17,57.694942,"sqrt((rolling_fga_5G - (1.0515009 / (pts_to_3pm_ratio - ((adjusted_pts_proj_usg ^ 0.49461615) - sqrt(shots_per_min))))) * (adjusted_pts_proj_usg - -6.5148735))"
18,57.53847,"(1.9714429 + ((rolling_pts_avg_5G + rolling_fga_5G) - (2.0958433 / (pts_to_3pm_ratio - ((adjusted_pts_proj_def ^ 0.49547908) - sqrt(shots_per_min)))))) ^ 0.82608765"
19,57.331432,"((rolling_pts_avg_5G + (rolling_fga_5G - (2.1709006 / (pts_to_3pm_ratio - ((adjusted_pts_proj_def ^ 0.49547908) - sqrt(shots_per_min)))))) ^ 0.81068385) + log(pts_to_3pm_ratio)"
