Complexity,Loss,Equation
1,82.07273,"18.163086"
3,59.70768,"usg_min_product / 0.41137508"
5,26.31344,"(usg_min_product * 2.4697895) * delta_fga_vs_rolling"
6,24.415127,"usg_min_product ^ sqrt(fg_pct_vs_avg_delta + delta_fga_vs_rolling)"
7,9.318307,"(volume_efficiency_to_pts / volume_efficiency_ratio) * (delta_fga_vs_rolling * fg_pct_vs_avg_delta)"
9,8.078345,"(volume_efficiency_to_pts * ((delta_fga_vs_rolling * fg_pct_vs_avg_delta) ^ 0.87941927)) / volume_efficiency_ratio"
11,7.898908,"(delta_fga_vs_rolling * (fg_pct_vs_avg_delta * ((volume_efficiency_to_pts / volume_efficiency_ratio) - rolling_pts_from_ft_5g))) + rolling_pts_from_ft_5g"
12,7.826122,"((volume_efficiency_to_pts / volume_efficiency_ratio) - sqrt(rolling_pts_from_ft_5g)) * ((fg_pct_vs_avg_delta * delta_fga_vs_rolling) + 0.075331286)"
13,7.6466913,"((delta_fga_vs_rolling * fg_pct_vs_avg_delta) + 0.10533191) * ((volume_efficiency_to_pts / volume_efficiency_ratio) - (1.2368389 ^ rolling_pts_from_ft_5g))"
15,7.514228,"(rolling_e_usg_pct_5G * usg_min_product) + ((delta_fga_vs_rolling * ((volume_efficiency_to_pts / volume_efficiency_ratio) + (rolling_pts_from_ft_5g * -0.713852))) * fg_pct_vs_avg_delta)"
17,7.465325,"(usg_min_product * rolling_e_usg_pct_5G) + (delta_fga_vs_rolling * (fg_pct_vs_avg_delta * (((volume_efficiency_to_pts + -0.048014726) / volume_efficiency_ratio) + (rolling_pts_from_ft_5g * -0.6713326))))"
19,7.423209,"(usg_min_product * rolling_e_usg_pct_5G) + (((((volume_efficiency_to_pts / volume_efficiency_ratio) + ((rolling_pts_from_ft_5g * -0.65353924) + -0.8593981)) * fg_pct_vs_avg_delta) + 0.6899425) * delta_fga_vs_rolling)"
20,7.421462,"(usg_min_product * rolling_e_usg_pct_5G) + ((sqrt(fg_pct_vs_avg_delta) + (fg_pct_vs_avg_delta * ((rolling_pts_from_ft_5g * -0.6511595) + ((volume_efficiency_to_pts / volume_efficiency_ratio) + -1.1883268)))) * delta_fga_vs_rolling)"
